2021-08-22 13:16:23        METADATA: Unknown types found, no types for AdId, AdvertisementOf, AdvertiserId, AdvertiserOf, DepositNonce, DidMethodSpecId, GlobalId, ProposalVotes, Public, TagCoefficient, TagScore, TagType
You are connected to chain Development using Parami Node v3.1.0-8b5068b-x86_64-macos
bestBlockNum 5269, targetBlockNum 5257
bestBlockNum 5270, targetBlockNum 5258
bestBlockNum 5271, targetBlockNum 5259
bestBlockNum 5272, targetBlockNum 5260
bestBlockNum 5273, targetBlockNum 5261
bestBlockNum 5274, targetBlockNum 5262
bestBlockNum 5275, targetBlockNum 5263
bestBlockNum 5276, targetBlockNum 5264
bestBlockNum 5277, targetBlockNum 5265
bestBlockNum 5278, targetBlockNum 5266
bestBlockNum 5279, targetBlockNum 5267
bestBlockNum 5280, targetBlockNum 5268
bestBlockNum 5281, targetBlockNum 5269
bestBlockNum 5282, targetBlockNum 5270
bestBlockNum 5283, targetBlockNum 5271
bestBlockNum 5284, targetBlockNum 5272
bestBlockNum 5285, targetBlockNum 5273
bestBlockNum 5286, targetBlockNum 5274
bestBlockNum 5287, targetBlockNum 5275
bestBlockNum 5288, targetBlockNum 5276
bestBlockNum 5289, targetBlockNum 5277
bestBlockNum 5290, targetBlockNum 5278
bestBlockNum 5291, targetBlockNum 5279
bestBlockNum 5292, targetBlockNum 5280
bestBlockNum 5293, targetBlockNum 5281
bestBlockNum 5294, targetBlockNum 5282
bestBlockNum 5295, targetBlockNum 5283
bestBlockNum 5296, targetBlockNum 5284
bestBlockNum 5297, targetBlockNum 5285
bestBlockNum 5298, targetBlockNum 5286
bestBlockNum 5299, targetBlockNum 5287
bestBlockNum 5300, targetBlockNum 5288
bestBlockNum 5301, targetBlockNum 5289
bestBlockNum 5302, targetBlockNum 5290
bestBlockNum 5303, targetBlockNum 5291
bestBlockNum 5304, targetBlockNum 5292
bestBlockNum 5305, targetBlockNum 5293
bestBlockNum 5306, targetBlockNum 5294
bestBlockNum 5307, targetBlockNum 5295
bestBlockNum 5308, targetBlockNum 5296
2021-08-22 14:02:37          API-WS: disconnected from ws://127.0.0.1:9944: 1006:: Connection dropped by remote peer.
2021-08-22 14:02:37        RPC-CORE: getHeader(hash?: BlockHash): Header:: WebSocket is not connected
Error: WebSocket is not connected
    at assert (file:///Users/libaozhong/parami/bridge/node_modules/@polkadot/util/assert.js:24:11)
    at file:///Users/libaozhong/parami/bridge/node_modules/@polkadot/rpc-provider/ws/index.js:474:9
    at new Promise (<anonymous>)
    at WsProvider.send (file:///Users/libaozhong/parami/bridge/node_modules/@polkadot/rpc-provider/ws/index.js:472:12)
    at callWithRegistry (file:///Users/libaozhong/parami/bridge/node_modules/@polkadot/rpc-core/bundle.js:219:40)
    at Observable._subscribe (file:///Users/libaozhong/parami/bridge/node_modules/@polkadot/rpc-core/bundle.js:226:9)
    at Observable._trySubscribe (/Users/libaozhong/parami/bridge/node_modules/rxjs/dist/cjs/internal/Observable.js:41:25)
    at /Users/libaozhong/parami/bridge/node_modules/rxjs/dist/cjs/internal/Observable.js:35:31
    at Object.errorContext (/Users/libaozhong/parami/bridge/node_modules/rxjs/dist/cjs/internal/util/errorContext.js:22:9)
    at Observable.subscribe (/Users/libaozhong/parami/bridge/node_modules/rxjs/dist/cjs/internal/Observable.js:26:24)
    at ConnectableObservable.connect (/Users/libaozhong/parami/bridge/node_modules/rxjs/dist/cjs/internal/observable/ConnectableObservable.js:60:40)
    at /Users/libaozhong/parami/bridge/node_modules/rxjs/dist/cjs/internal/operators/refCount.js:25:33
    at OperatorSubscriber.<anonymous> (/Users/libaozhong/parami/bridge/node_modules/rxjs/dist/cjs/internal/util/lift.js:14:28)
    at /Users/libaozhong/parami/bridge/node_modules/rxjs/dist/cjs/internal/Observable.js:30:30
    at Object.errorContext (/Users/libaozhong/parami/bridge/node_modules/rxjs/dist/cjs/internal/util/errorContext.js:22:9)
    at Observable.subscribe (/Users/libaozhong/parami/bridge/node_modules/rxjs/dist/cjs/internal/Observable.js:26:24)
2021-08-22 14:02:39        RPC-CORE: getHeader(hash?: BlockHash): Header:: WebSocket is not connected
Error: WebSocket is not connected
    at assert (file:///Users/libaozhong/parami/bridge/node_modules/@polkadot/util/assert.js:24:11)
